"id_huesped";"nombre";"apellido";"documento";"telefono";"email"
1;"Ricardo";"Darín";"DNI101010";"1144445555";"ricardito@cine.com"
2;"Elena";"Roger";"DNI202020";"1155556666";"elena@teatro.com"
3;"Lionel";"Messi";"DNI101011";"1133334444";"leomessi@inter.com"
4;"Antonela";"Roccuzzo";"DNI222333";"1122223333";"anto@mail.com"
5;"Gustavo";"Cerati";"DNI333444";"1188889999";"fuerza@natural.com"
6;"Marta";"Minujín";"DNI444555";"1177778888";"marta@arte.com"
7;"Manu";"Ginóbili";"DNI555666";"1166667777";"manu@spurs.com"
8;"Tini";"Stoessel";"DNI666777";"1100001111";"latini@musica.com"
9;"Bizarrap";"BZRP";"DNI777888";"1199990000";"biza@session.com"
10;"María";"Fernández";"DNI123456";"1122334455";"maria@mail.com"
11;"Jorge";"Rodríguez";"DNI654321";"1199887766";"jorge@mail.com"
12;"Lucía";"Santos";"DNI789456";"1144556677";"lucia@mail.com"
13;"Pepito";"Pérez";"DNI999";"";""
